app_id,app_name,category_name,data_collected
20,Haircuts Men 2023,Beauty,"Non-personal Information (Device technical details, Geographical location), Personal Identifiable Information (PII) (Age, Nationality, Educational level, Username, Password)"
21,Spiral Photo & Video Editor,Beauty,"Device's IP Address, Operating System Version, App Usage Details, Other Statistics (through third-party products in case of an app error), Cookie Data (through third-party code and libraries)."
22,Ulta Beauty: Makeup & Skincare,Beauty,"Personal Information (Name, Signature, Address, Telephone Number, Online Identifier, IP Address, Account Login, Email Address, Social Security Number, Driver’s License Number, State Identification Number, Age, Gender Expression and Identity, Race, Ethnicity, Bank Account Information, Face or Hand Geometry, purchase records, Zip Code, Information Inferred)"
23,African Print fashion ideas,Beauty,"Anonymous Data, Usage Data through Google Analytics and Google Firebase."
24,LuLuApp,Beauty,
25,Long Nail Designs,Beauty,"IP Addresses, Browser Type, ISP, Referring and Exit Pages, Platform Type, Date/Time Stamp, Click Numbers"
26,Luvme Hair,Beauty,"Personal Data, Direct Information, Automatic Information (through cookies), Additional Information from other sources, Location Data, Device Identifiers, Sensitive User Data"
27,Mirror - Zoom & Exposure -,Beauty,"Device Unique Identification Numbers (Device ID or IMEI), Account State Information, Photographs, Cookies, Service Use History."
28,Wattpad - Read & Write Stories,Books & Reference,Personal Information
29,JW Library,Books & Reference,Personal Information (including Contact Details)
30,Stats Royale for Clash Royale,Books & Reference,User-submitted information
31,PDF Reader,Books & Reference,"Browser Details, IP, Platform, Timestamps, Identifiers, Device Model Details, Session Timings, Language and Location, Network Status, Hardware Information."
32,Google Play Books & Audiobooks,Books & Reference,
33,Gospel Library,Books & Reference,"User Submitted Data, Third Party Data, Data from Communication with the Church"
34,Aldiko Next,Books & Reference,"User Number, Cookies Information (Process Cookies, Security Cookies, Statistical Cookies), Interaction Information with the Application (via Google Analytics), Form Registration Data, ID Forms Data, User Profile Data, Comment and Post Data, Book Rating Data, Newsletter Subscription Data."
35,ReadEra – book reader pdf epub,Books & Reference,"Anonymous Technical Data (Error Reports, Technical Diagnostics, Anonymous User-Interaction Statistics)"
36,"Librera Reader: for PDF, EPUB",Books & Reference,"Personally Identifiable Information, Third Party Identification Information, Log Data (IP address, device name, operating system version, app configuration, app usage time and date, other statistics), Cookies Information."
37,Moon+ Reader,Books & Reference,"Personally Identifiable Information, Log Data (IP Address, Device Name, Operating System Version, App Configuration, Usage Time and Date), Other Statistics."
38,Bible Gateway,Books & Reference,"Contact Details, Geolocation Data, Behavioral Data (Pages Visited, Time Spent Using Services), Data from Third-party Social Media Network (Facebook, Google)"
39,WebNovel,Books & Reference,"Personal Information [Name, Gender, Email Address, Postal Address, Phone Number, Billing Details, Birth Date, Preferences, etc.], Information from third Parties [Google, Facebook, Twitter]"
40,How to Draw XXXTentacion,Books & Reference,"Personally Identifiable Information, Log Data [IP Address, Device's Name, Operating System Version, App Configuration, Time, Date, Usage Statistics], Cookies"
41,Microsoft Teams,Business,
42,myJDW,Business,"Various types of personal data, data related to customer feedback, data for website update, data for business development."
43,Intune Company Portal,Business,"Favourite Locations, Search history, Location Data, Aggregated User Account Data, SMS and MMS Messages, Emails, Calendar Items, Files, Contacts, Settings."
44,"Adobe Scan: PDF Scanner, OCR",Business,
45,Microsoft Authenticator,Business,"De-identified location data, User's favorite places, Recent map searches, Location data from photos and videos, Photos, Videos, Contacts from connected accounts, Emails, Calendar items, SMS and MMS messages."
46,Docx Reader PDF Viewer Word,Business,"Personal Information, IP Address, Device Name, Operating System Version, App Configuration, Service Usage Time and Date, Cookies."
47,"Vault - Hide Pics, App Lock",Business,"Name, Address, Phone Number, IP Address, Device Information, Location Details, Account Information, Product Information, User ID, Cookies Information"
48,Duo Mobile,Business,The text does not provide specific information about data that is collected by Cisco.
49,Recargas tu Cell,Business,"Personal Information (Name, Email, Billing Address, Phone Number), User Inputs (Cell Phone Numbers of Beneficiaries), Device and Other ID (IP Address, Geolocation), Cookies (Strictly Necessary, Functional, Analytical Information), Advertising Number"
50,WipRecargas,Business,"Name, Email, Home Phone Numbers, Office Phone Numbers, Mobile Phone Numbers, Address, Work Information, Any other necessary data for company's services, Sensitive personal data (racial or ethnic origin, health condition, religious beliefs, philosophical beliefs, moral beliefs, political opinions)"
51,LinkedIn: Jobs & Business News,Business,
52,Expedia Group Partner Central,Business,"Personal Information (as needed to manage bookings, process payments, create accounts, send marketing communications), Financial and Tax-related Information"
53,Xodo PDF Reader & Editor,Productivity,Not Specified
54,EverConnect,Business,"Windows ID, First and Last Name, Login Credentials (Username and Password)"
55,Me@Walmart,Business,"Personal Information, Sensitive Personal Information"
56,JobStack | Find a Job | Find T,Business,
57,"Resume Builder App, CV maker",Business,"Log Data, Device Information (IP address, device name, operating system, app configuration, usage time), User's Information, Third-party Services Data, Cookies."
58,FX File Explorer,Business,None
59,Webex Meetings,Business,"Personal Data (for order processing, website provision, newsletter subscription, job applications), Combined Information (from different sources)"
60,Side - flex jobs & temp work,Business,
61,Google Chrome: Fast & Secure,Communication,"Personal information through Google Accounts, IP address, User interaction information (web requests, IP address, browser type, browser language, date and time of request, unique cookie ID), Unique identifiers recognized by browser, app, or device, Data such as location, public web content, Google products content, email contacts, stored searches, previous activity, IP addresses, cookies, photos, videos, purchase information, device information, Data on views and interactions with ads, User-customizable audio recordings during interactions with Google Search, Assistant, and Maps."
62,Yahoo Mail – Organized Email,Communication,Not Specified
63,tellows - Caller ID & Block,Communication,"Master data (Name), Contact Data (Phone Number, Email), Entry Data (Text/comment entry, Access times), Meta data (IP address), Log Files, Referrer URL"
64,Talkatone: Texting & Calling,Communication,
65,"UC Browser-Safe, Fast, Private",Communication,
66,"Brave Private Web Browser, VPN",Communication,
67,MyBell,Communication,Not Specified
68,Psiphon Pro,Communication,
69,Telegram,Communication,
70,2ndLine - Second Phone Number,Communication,"Personal Information, Device Information, Navigational Information, Location Information"
71,Samsung Internet Browser,Communication,"Contact Information, Payment Card Information, User Coupon or Gift Card Number, Date of Birth, Demographic Data, Samsung Account Information, Information from Third-Party Devices, User-Generated Content, Voice Recordings, Chat Session Records, Purchase Details, Location Data, Automatically Generated Data"
72,VozApp,Communication,"Identification Data, Academic and Professional Data, Occupational Data, Commercial Information, Economic, Financial and Insurance Data, Sensitive Data"
73,Kiwi Browser - Fast & Quiet,Communication,"Cookies, Usage Data, Various Services and Device Data (with consent)"
74,Skype,Communication,
75,Psiphon,Communication,
76,Puffin Cloud Browser,Tools,
77,UC Mini-Download Video Status ,Communication,
78,LINE: Calls & Messages,Communication,"Public profile information, Phone number, Email address, LINE ID, Contacts, Service history, Location information"
79,Zello PTT Walkie Talkie,Communication,"Account Information, Device Information, Support Requests, Site Interaction Contact Information, Social Media Interactions, Location Data."
80,Bang Browser-All Video downloa,Communication,"Name, Company Name, Job Title, Email Address, Category of Enquiry, Enquiry Details, Cookies."
81,QQ,Communication,
82,Messenger Kids – The Messaging,Communication,
83,WAMR: Undelete messages!,Communication,"Personal Information, Local Backup Data, Error Log Data, Device's IP Address, Device Name, Operating System Version, App Configuration, Usage Time, Google Analytics Data"
84,Getcontact,Communication,"Name, Address, Payment information, Username, Telephone number, Email."
85,BiggerCity: Gay bears & chubs,Dating,
86,Hinge Dating App: Meet & Date,Dating,"Gender, Date of Birth, Sexual Orientation, User Interactions, Social Media Account Data, Suspicious Activity Data, Service Usage Data, Device Information"
87,CooMeet: Video Chat with Girls,Dating,"Trackers, Usage Data, Personal Data"
88,Match: Dating App for singles,Dating,"Basic Profile Details and Preferences, Usage Information of Services, Information from Third Party Social Media Accounts, Personal Information of Job Candidates, Contractors, and Vendor Representatives, Recognition Data through Cookies and Similar Technologies."
89,Chispa: Dating App for Latinos,Dating,"Personal Information, Cookies and Similar Technologies"
90,LatinAmericanCupid: Latin Chat,Dating,
91,Once: Perfect Match and Dates,Dating,"Name, Email, Profile Picture, Location, Interests, Content Preferences"
92,eharmony dating & real love,Dating,"Personal Information [Name, Email Address, Contact Number, Mailing Address, Date of Birth], Dating Preferences, Proprietary Questionnaire Answers, Photos"
93,AfroIntroductions: Afro Dating,Dating,"Personal Data, Special Category Personal Data, Cookies and Other Tracking Technologies, Full Truthful and Accurate Information."
94,BBWCupid: BBW Dating Plus Chat,Dating,"Visiting Statistics, Personal Data on Registration, Cookies and Tracking Technologies"
95,"Mobifriends: Date, meet people",Dating,"Name or Alias, Birthdate, Province, City, Gender, Email, Physical Characteristics, Personality Traits, Hobbies, Interests, Activity Data (login times, feature usage, searches, clicks, referral websites, communications data), Payment Details (credit or debit card details or PayPal account information)"
96,ColombianCupid Colombia Dating,Dating,"Full Name, Email, Address, Phone Number, Occupation, Appearance Description, Racial or Ethnic Origin, Religious Beliefs, Sexual Orientation, Browser Type, IP Address, Pages Viewed, Visit Dates and Times."
97,MexicanCupid: Mexican Dating,Dating,"Browsing Data, Personal Data"
98,buzzArab Arab & Muslim Dating,Dating,
99,"Fotka - dating, chat and flirt",Dating,
100,BLK Dating: Meet Black Singles,Dating,"User Profile Information, User Activity Information, Third-Party Service Information, Sensitive Data (with consent), Information for Service Enhancement, Information for Safety Improvement, Information for Advertising Purposes"
101,Spdate - meet singles nearby o,Dating,"Personal Data (photographs, birthdates, locations), User-generated content (text, images, videos), Anonymous information for advertising purposes"
102,Universal TV Remote Control,House & Home,"Site visits, Traffic details, Most visited pages, Site navigation patterns."
103,Night Owl Protect,House & Home,"Device and Usage Information, User Account Information"
104,Homestyler-Room Realize design,House & Home,"Contact Details, Purchase Information, Support Requests, Complaints, Event-related Information, Social Media Account Details, Market Research Data (Marital Status, Nationality, Income, Preferences), Correspondences with Homestyler, Platform Use Details, Social Media Posts/Comments, Third-party Information (for money laundering, fraud checks, ""Know Your Customer"" checks)"
105,Vivint,House & Home,
106,SURE - Smart Home and TV Unive,House & Home,"Personal Information [Name, Email], Health Information [Name, Email, Date of Birth, Gender, Photo, Phone, Health Data], Non-Personal Information [Location, IP Address, Browser Type, Operating System, Device Info], Cookies and IP Address (through Google Analytics)"
107,Houzz - Home Design & Remodel,House & Home,"Account and Profile Information, Content Submitted, Purchase Information, Communications and Information Provided for Surveys and Contests, Personal Information from Other Platforms, Publicly Available Information, Information from Other Users, Information from Partners, Service Providers, and Corporate Affiliates, Information from Third-Party Sites"
108,Universal TV Remote Control,House & Home,"User-provided Data, Interaction Data, Survey Participation Information, Device and App Access Details, Internet Connection Information, and Data through Third-party SDKs."
109,tinyCam Monitor,House & Home,"Camera Access Information (hostname/IP address, login details, model, preferred naming, networking protocol), Video Storing Data (name of cloud service provider, FTP server hostname or IP address, access credentials), Email Notification Data, App Settings."
110,TV Remote for LG  (Smart TV Re,House & Home,"User Engagement Data (via Google Analytics), Microphone Access Data."
111,Home Security Camera WardenCam,House & Home,"Personal Identification Information (voluntarily submitted by users), Non-personal Identification Information (browser name, type of computer, technical information about the user's connection to the site), Cookies Information"
112,"PRIME Wire and Cable, Inc.",House & Home,"Email Address, Mobile Phone Number, Device Related Information (IMEI Number, PRIME Smart Device ID), Location Details, PRIME Account Information, Product Purchase Information, PRIME Smart Device Activation Data, Synchronized Device Data, Content Shared, Service Processing Data, Anonymous Statistics Related to Product Use."
113,Real Estate sale & rent Trovit,House & Home,User Ads data
114,British Gas,House & Home,"Personal Data from Various Services/Products, Glen Dimplex Quantum Tariff Data"
115,Vivitar Smart Home Security,House & Home,"Personal Data (User's name, age, gender, contact details, interests), Derivative Data (IP address, device and interaction information), Financial Data (Payment method information), Social Network Information (User's name and contacts on platforms), Mobile App Data (Geolocation information and mobile device data), Survey/Contest Data, Cookies (User behavior on the site), Google Maps APIs Data."
116,ActiveBuilding,House & Home,"Name, Contact Details, Financial Records, Employment History, Medical Information, Other Personal Identifiers, Interactions with Website Features."
117,AQ STAR,House & Home,"IP Address, User ID, Device Type and ID Number, Usage Data, Crash Data, Product Specifications, Accessory Names, Location Information (if geo-fencing is enabled), User's Name/Nickname, Email Address, Password, Gender, Age, Country, Product Configuration, Full Name (when making a purchase), Payment Information, Billing and Shipping Address, Telephone Number, Invoice, Order Records."
118,Remote Control for Roku TV,House & Home,"SDK/API/JS code version, Browser Type, Internet Service Provider, IP Address, Timestamp, Application Version, Platform, Device Identifiers."
119,MySmartE,House & Home,"Name, Address, Mobile Number, Email Address, Household Details (Heating type, Living space, Electricity Usage), Geographic Location"
120,Pinterest,Lifestyle,
121,Google Home,Lifestyle,
122,AttaPoll - Paid Surveys,Lifestyle,"Survey responses, information provided through the application or website, Email content, Location data, Device information, User testimonials, Demographic information, User profile information."
123,SmartThings,Lifestyle,Not Specified
124,Rightmove Property Search,Lifestyle,"Property data, Personal contact details, Technical data, Mortgage information, Tenant references, Financial data, Employment details, Education details, Lifestyle details."
125,Santa Biblia Reina Valera,Lifestyle,"Email, Device Model Number, Operating System Version, Country Code, User Accounts, Internet Data, Network Connections, USB Storage Access/Modifications, Device Sleep Prevention Status"
126,MY FamilyMart,Lifestyle,"Personal Information, Account Management Data, Identity Verification Data, Loyalty Programs Information, App Usage, Interaction Data, Shopping Habits, Purchased Products and Services, Website Browsing Patterns, CCTV Footage, Online Behavior Data, Communication Information."
127,Santa Biblia Reina Valera 1960,Lifestyle,"Activity Information, Personal Information (If user chooses to provide), Sensitive Information (If user chooses to provide)"
128,Tesla,Lifestyle,"Personal data, Autopilot Analytics & Improvements, Road Segment Data Analytics, Data from product purchases, Promotional communication data, Vehicle control and access data."
129,myChevrolet,Lifestyle,"Unique identifiers through IP address or VIN, demographic data, browser type, pages visited, activity details, data measured from email campaigns, accessed URLs."
130,Smart Life - Smart Living,Lifestyle,"Account details, User feedback, Additional function details (location information, camera, albums, microphone, storage, notifications, Bluetooth, health functions), Mobile device information, Usage data, Log information, Smart device data"
131,Every Timer-WiFi/Bluetooth/Sou,Lifestyle,"Payment Record, Country, Version, Carrier, Device Type."
132,Pets4Homes,Lifestyle,"User's registration data (Name, Telephone Number, Address, Email, Newsletter Preference), Pet listing data, Messages to sellers, Pet reporting information, Feedback through online survey, Identity verification data (identity document and images), Cookies and similar data."
133,Puffco Connect,Lifestyle,"Identifiers, Purchase Information, Technical and Usage Data, Location Details"
134,SwingLifeStyle (SLS),Lifestyle,"Personally Identifiable Information, Aggregate Information"
135,Bagan - Myanmar Keyboard,Lifestyle,"User's Personal Data, IP Address, Interaction files, System logs"
136,Tuya Smart,Lifestyle,"Personal Biometric Information, Communication Records and Contents, Health Information, Transaction Information, Precise Location Information"
137,happn - Dating App,Lifestyle,Not Specified
138,The Badass App,Lifestyle,"Personal or Company Contact Information, User Account Information, Information about User's Inquiries, Purchases or Subscriptions, IP addresses, Cookie Data, Data from Google Analytics and First and Third-Party Cookies."
139,MyDyson™,Lifestyle,"Information from Dyson's websites, the My Dyson app, and connected machines."
140,Icedrive #Secure Cloud Storage,Productivity,
141,TeraBox: Cloud Storage Space,Tools,
142,Cloud Storage,Business,None
143,Degoo: 20 GB Cloud Storage,Productivity,"Email Address, Mobile Number, Password, Payment Details"
144,File Manager,Productivity,"User Provided Information (personal details, transaction-related information, contact information), Device Information, Shared Device Storage Information, Unique Device IDs."
145,File Manager,Tools,"Account Information, Email Addresses, Usage Data (Cookies, IP addresses), Non-Personally Identifiable Information (User Clicks, Browsing Behaviors, Page Access Event)"
146,MEGA,Productivity,Analytics Cookies Usage Data
147,Microsoft OneDrive,Productivity,
148,Samsung My Files,Tools,"Contact information, Payment card information, Demographic data, Voice recordings, Location data, Device-specific information, Information from public or commercially-available sources, Information from third parties, Automated data generation."
149,pCloud: Cloud Storage,Productivity,"IP address, Browser type, Operating system, Device information, Purchase history, Website usage patterns."
150,File Manager,Tools,"Access Storage, Access Files, Google Drive Permission, Cookies, Personal Information (for communication, service improvement and law compliance)"
151,ASTRO File Manager & Cleaner,Tools,"Personal Information [Name, Email Address, Demographic Data], Device-Specific Information [Device Model, Operating System, Usage Patterns, Other Related Information], Information via Third-Party SDKs [Google LLC, AppsFlyer Ltd., Leanplum Inc.]"
152,Cx File Explorer,Tools,"User-Provided Information (Name, Email, Age, Gender, Transaction Details, Support Contact Data, Credit Card Information), Device Information (Photo Library, List of Installed Applications, External SD Card), Shared Device Storage, Cloud Service User Data, Automated Information (Device Type, Unique Device ID, Device IP Address, Mobile Operating System, Browser Type, App Usage Information)"
153,Solid Explorer File Manager,Productivity,
154,Box,Business,Not Specified
155,FX File Explorer,Business,No data collected
156,Proton Drive: Cloud Storage,Productivity,
157,AnExplorer TV File Manager,Tools,"Device and other ID, IP Address, Operating System Version, App Configuration, Service Usage Statistics, Potentially Identifying Information via Third-Party Services, Personal Data stored on user's device, Data of individuals under 13"
158,Amaze File Manager,Tools,"System Logs, Device Manufacturer Information, IP Address, Device Name, Operating System Version, App Configuration, Time and Date of Service Usage, Authentication for Cloud Accounts"
159,File Manager File Explorer,Tools,"Name, Email Address, IP Address, Usage Details, Financial Details, Geographical Location, Application Specific Data"
160,File Manager - File Explorer,Productivity,"Identifiable Personal Information, Information from Third-Party Services, Log Data (IP Address, Device Name, Operating System, App Configuration, Usage Time, Stats), Cookies Usage Information"
161,X-plore File Manager,Tools,"Date of Reporting, App Version, Device Details, Stack Trace Information"
162,EX File Manager :File Explorer,Tools,"Personal Information, User Identifier Information, Log Data [Device IP Address, Device Name, Operating System Version, App Configuration, Usage Statistics], Cookie Data"
163,ESuper File Explorer,Tools,
164,File Manager,Tools,"Basic Personal Information (Phone Number, Name, Birthday, Nationality, Age, City, Account Details, User Information), Service Data (Device Info and Operation Status, Location, Product Details, Cookie Information, Third-party Application IDs)"
165,RAR,Tools,
166,Parallel Space - app cloning,Personalization,
167,Video Editor & Maker - InShot,Photography,
168,Lightroom Photo & Video Editor,Photography,
169,B612 AI Photo&Video Editor,Photography,"SNS ID, Profile Image, User Profile Data, Location Information, Device Information"
170,Open Camera,Photography,
171,Photoshop Express Photo Editor,Photography,
172,ToonMe - cartoons from photos,Photography,
173,Camera Editor- Sweet Selfie,Photography,"User Chats, Published Content, Data from Other Users, Social Media Data, Technical Log Information, Device Information, Ad campaign details, Cookies and Similar Technologies used for Analytics and Advertising"
174,Phonto - Text on Photos,Photography,"Personal Data (which can identify a user), Cookies and Usage Data, Tracking and Cookies Data, Usage Data from the Service or its Infrastructure."
175,Photo Editor Pro - Polish,Photography,"User Information (Name, Email Address, Device Details, Location, Survey Responses), App Usage Data, Data from third-party tools (Google Firebase Analytics), Advertisements data (Google AdMob)."
176,A+ Gallery - Photos & Videos,Photography,"Customer Support Information, Contact Information [Email, Third Party Social Network Accounts], Media Content [Photos, Media Files], Device's Camera and Microphone Access, Usage Information, Internet Permissions, IP Address and Mobile Advertising ID for ad-supported apps."
177,Remove BG - Background Eraser,Photography,
178,Photo Editor,Photography,"User data retained for legal obligations, dispute resolutions, legal agreements, and policies, Usage data for internal analysis and service enhancement."
179,PixelLab - Text on pictures,Photography,"Cookies, Usage Data, Unique Device Identifiers, Geographic Position, Email Address, User's First Name"
180,Background Eraser,Photography,
181,Bestie - Camera360 Selfie,Photography,"Device Permissions (Camera, Microphone, Bluetooth), Cookies, Web Beacons, Pixel Tags"
182,NewProfilePic: Profile Picture,Photography,
183,Cymera - Photo Editor Collage,Photography,"ID, Purchase History, Company Name, Contact Details"
184,Camera360:Photo Editor&Selfie,Photography,Personal Information
185,Retrica,Photography,"Email Address, First Name, Last Name, Cookies, Usage Data, Sex, Birthdate or Age"
186,Film Maker Pro - Movie Maker,Photography,
187,Microsoft Word: Edit Documents,Productivity,
188,MediaFire,Productivity,
189,"CamScanner- scanner, PDF maker",Productivity,"Account Information, User-Generated Content, Transaction Details, Device Data, Cookies, Data from Third-Party Sources."
190,Microsoft 365 (Office),Productivity,
191,MEGA,Productivity,Analytics Cookies
192,Microsoft PowerPoint,Productivity,
193,Microsoft Excel: Spreadsheets,Productivity,
194,Microsoft Outlook,Productivity,
195,Quick Settings for Android,Productivity,"Personal Information from surveys or app, Device Type, Application Version, Mobile Operating System, Advertising ID, Ads Data, Information related to user invites"
196,OPPO Clone Phone,Productivity,"Personal data, Marketing information, Promotional activity data"
197,Mobizen Screen Recorder,Productivity,"Name, Email, Contact Information, OS Information, IP Address, Device Information, Cookies, Payment History, Legal Guardian's Name and Contact Details (in case of children), Activity Logs"
198,File Manager,Productivity,"Personal Information (Name, Email, Age, Gender, Transaction Details, Credit Card Information, Contact Details), Access to Photo Library, Installed Application List, External SD Card, Data from Cloud Services, Mobile Device and Application Usage Data"
199,Microsoft SwiftKey AI Keyboard,Personalization,
200,WhatTheFont,Productivity,"IP Address, Mobile Device Identifiers, Personal Details during Registration, Information Related to Site Visit and Usage."
201,My Vodafone,Productivity,"Interactions with Vodafone, Connectivity Services Usage Detail, Device Information, Location Details, My Vodafone App Usage Details"
202,New PDF Reader,Productivity,
203,Adobe Acrobat Reader: Edit PDF,Productivity,"Usage Data, Contact Information, Identifier Information, Public User Data (Names, Interests), Audio and Visual Data, Hardware and Software Data, Biometric Identifiers or Biometric Information."
204,Apps Manager - Your Play Store,Productivity,"Personally Identifiable Information (kept on device), Log Data (IP Address, Device Name, OS Version, App's Configuration, Service Usage Time and Date, App usage statistics), Identifiable user information by third-party services."
205,"WPS Office-PDF,Word,Sheet,PPT",Productivity,"Email Address, Postal Address, Other Personal Data, Non-Personal Data (Device Identifier), Location Data, Technical Data, Operational Data, Cookies and Web Beacons Usage Data, Aggregate Web Traffic Routing Data."
206,Boot Apps,Productivity,Identifiable user information through Google Play Services and AdMob.
207,Google Slides,Productivity,Not Specified
208,TeamViewer QuickSupport,Productivity,"Name, Address, Email Addresses, Number of Shares, Intermediary Bank Information, Representative, Registration Number, Voting Behavior and Results, Submitted Questions, Statements, Motions, Counter-Motions, Nominations, Instructions, Objections."
209,WiFi Passwords Map Instabridge,Productivity,"Username, Email Address, Device ID, IP Address, Service Usage Information, Diagnostic Data, Third-Party App Profile Information (Profile Picture, Country of Birth, Date of Birth, Gender)"
210,Microsoft OneDrive,Productivity,
211,RecargaMarcas TAE,Productivity,"Device Model, Operating system Name, Equipment Version, IP Location, Image Gallery (if user authorizes)"
212,ColorNote Notepad Notes,Productivity,"Personal information (Name, Email Address, Contacts), Data you upload or download, Recorded interactions with the service, Cookies."
213,HP Smart,Productivity,User data (Specific information not provided)
214,iCECC,Productivity,Not Specified
215,OfferUp: Buy. Sell. Letgo.,Shopping,
216,PromoDescuentos: ofertas,Shopping,"Account Information (email address, username, password), Additional Information (name, surname, description), Activity data (offers, discussions, comments, saved posts, likes, alerts, filters, searches, private messages), Survey Responses (email address, behavior data), Trends (received likes, followers, offer statistics), Behavior Data (page views, clicks, data duration, likes, active filters, alerts, searches), Log and Device Information (time, date, IP address), Information from business partners (with consent): Account Information, Phone number, Order Data, Survey Responses, Behavior Data, Log and Device Information."
217,Walmart: Shopping & Savings,Shopping,Not Provided
218,AfterShip Package Tracker - Tr,Shopping,"Contact details, Account credentials, Transaction details, Cookies for website experience, security, and data analysis."
219,"Fetch: Have Fun, Save Money",Shopping,"Name, Birth Date, Email Address, Billing Address, Shipping Address, Telephone Numbers, Profile Photo, Digital Receipt Program Participants Information, Account or Email Log-in Credentials, Location Data, Publicly Available Data, Third Party Information, Cookie Data, Pixel Tags Data, Google Analytics Data."
220,"SmartCanucks - Flyers, Deals &",Shopping,
221,eBay: Online Shopping Deals,Shopping,
222,AppsFree,Shopping,"IP address, Device Name, Operating System Version, App Configuration, Time and Date of Service Usage, Other Statistics, Cookies."
223,Gumtree: local classified ads,Shopping,User Personal Data
224,Kimovil,Shopping,"User Alias, Email Address"
225,Mercari: Your Marketplace,Shopping,"Contact Information, Financial Information, Additional Personal Details, Third Party Identity Verification Data, Device Information, Software Information, Language Settings, Access Logs, IP Address, Device ID, Cookies."
226,Shopee PH: Shop this 12.12,Shopping,"Name, Email Address, Date of Birth, Contact Details, Identity Verification Documents, Marketing and Communication Data, Device Data, User Interaction Data, Precise Location Information, Cookies Information."
227,hotukdeals - Deals & Discounts,Shopping,"Account Information (Email Address, Username), Additional Information (First Name, Last Name), Your Activity (Deals, Discussions), Responses to Surveys, Your Trends (Likes Received, Followers), Log Data and Device Information (Time, Date, IP Address), Cookies (Preferences and Login Information)"
228,17TRACK Package Tracker,Shopping,Not specified.
229,Kijiji: Buy and sell local,Shopping,"Email Address, Password, Personal Information given during service use, User's information from third-party services"
230,X,Social,
231,Pi Network,Social,"Contact and identity information, User-generated content, Network transaction information, Survey responses, Marketing interest, Know Your Customer Verification Information, Information about users from other users and companies."
232,Reddit,Social,"Personal Information, Personalized ads info, First and third-party cookies, Information collected via Google Analytics Opt-out Browser Add-on, Audience Measurement services from Nielsen and Quantcast, IP derived location information."
233,Plenty of Fish Dating App,Social,"Phone Number, Email Address, Gender, Date of Birth, Interests, Images, Videos, User Service Usage Information, Device Information, User Information from other users or third parties."
234,Monkey - random video chat,Social,Not Specified
235,Text Free: Call & Texting App,Social,"Personal Information [Names, Addresses, Emails, Phone numbers, Billing information], App Data [Period of usage, IP addresses, Device identifiers, Browser-specific data, User behaviour data], Shared Data [Text, Audio, Video, Photos, Contacts]"
236,pixiv,Social,
237,textPlus: Text Message + Call,Social,"Personal Information (Name, Mobile Number, Email), Usage Data (Device Type, Operating System, IP Address, Location Information, Browsing Habits), Message Data, Contacts on Device, Cookies and Web Beacons Data, Location Data"
238,Chikii-Play PC Games,Social,
